Type,air_temp,process_temp,rotational_speed,torque,tool_wear,Machine failure
1,-0.6296957909445243,-0.3631663817890409,0.06642896323578391,0.08018690014735269,-1.6912698976733591,0
0,-0.5882039727742077,-0.3212976242996958,-0.7280347697500842,0.39727716076376496,-1.6442926543020973,0
0,-0.6296957909445243,-0.4050351392784099,-0.22802263010862875,0.6781285344525874,-1.6129744920545894,0
0,-0.5882039727742077,-0.3631663817890409,-0.5891425087385688,-0.21878391700526434,-1.5816563298070816,0
0,-0.5882039727742077,-0.3212976242996958,-0.7280347697500842,-0.17348530834577688,-1.5503381675595738,0
1,-0.6296957909445243,-0.3631663817890409,-0.6335880322622538,-0.0013505954397246306,-1.519020005312066,0
0,-0.6296957909445243,-0.3631663817890409,0.10531879631900823,0.04394801321976284,-1.472042761940804,0
0,-0.6296957909445243,-0.3631663817890409,-0.06690760733527087,-0.15536586488198165,-1.4407245996932962,0
1,-0.5467121546038674,-0.3212976242996958,0.7108890543292155,-1.2062935857820911,-1.4094064374457884,0
1,-0.46372851826321027,-0.1956913518316128,1.122010146923301,-1.2606519161734762,-1.3624291940745268,0
2,-0.5052203364335506,-0.23756010932098173,1.3497934549821864,-1.6321005071812735,-1.315451950703265,0
2,-0.42223670009286995,-0.15382259434224385,-0.644699413143175,0.21608272612581508,-1.2371565450844952,0
1,-0.42223670009286995,-0.15382259434224385,-1.1113774101418668,0.8321438038948451,-1.1588611394657258,0
1,-0.42223670009286995,-0.11195383685289871,1.1275658373637616,-1.0794574815355262,-1.111883896094464,0
0,-0.42223670009286995,-0.11195383685289871,2.7553831364187222,-2.0216685416528657,-1.064906652723202,0
0,-0.42223670009286995,-0.11195383685289871,0.01642774927163837,0.5875313171336125,-1.0335884904756942,0
1,-0.42223670009286995,-0.11195383685289871,-1.266936742474764,0.4244563259594578,-1.0022703282281864,0
1,-0.38074488192255324,-0.11195383685289871,-0.716923388869163,0.3338591086404829,-0.9552930848569247,0
2,-0.3392530637522129,-0.11195383685289871,-1.2947151946770672,1.1401743427793598,-0.9083158414856629,0
1,-0.2977612455818962,-0.07008507936352977,0.5164398889130939,-0.8529644382380889,-0.8300204358668932,0
2,-0.2977612455818962,-0.07008507936352977,-0.9113725542852846,0.07112717841545571,-0.7830431924956315,0
0,-0.3392530637522129,-0.07008507936352977,-0.4946957712507383,0.26138133478530257,-0.7047477868768619,0
1,-0.2977612455818962,-0.07008507936352977,0.23309967644960242,-1.016039429412244,-0.6734296246293541,0
0,-0.2562694274115559,-0.028216321874184637,1.2164568844111314,-1.4690255160071186,-0.6264523812580922,0
1,-0.2562694274115559,-0.028216321874184637,0.12198586764039009,-0.41809779510700945,-0.5951342190105844,0
0,-0.2562694274115559,0.013652435615184304,1.788692999778575,-1.6864588375726584,-0.5481569756393226,0
0,-0.21477760924121556,0.013652435615184304,-0.15024296394218012,-0.2640825256647518,-0.5168388133918148,0
2,-0.21477760924121556,-0.028216321874184637,1.5109084777555442,-1.5686824550579908,-0.4855206511443069,0
0,-0.21477760924121556,-0.028216321874184637,-0.5558083660958051,0.2070230043939181,-0.40722524552553735,0
0,-0.2562694274115559,-0.028216321874184637,0.8553370057811914,-1.0703977598036287,-0.37590708327802946,0
1,-0.21477760924121556,0.013652435615184304,-1.1113774101418668,0.5694118736698178,-0.34458892103052163,0
0,-0.2562694274115559,-0.028216321874184637,1.4386845020295562,-1.4871449594709134,-0.2976116776592599,0
0,-0.2562694274115559,-0.028216321874184637,-0.6669221749050175,0.5784715954017149,-0.266293515411752,0
0,-0.2977612455818962,-0.07008507936352977,0.6997776734482942,-0.8529644382380889,-0.23497535316424417,0
1,-0.3392530637522129,-0.15382259434224385,0.11087448675946886,-0.6536505601363438,-0.2036571909167363,0
1,-0.3392530637522129,-0.11195383685289871,-0.4835843903698171,0.6056507605974077,-0.15667994754547454,0
1,-0.2977612455818962,-0.11195383685289871,0.23309967644960242,-0.47245612549839394,-0.10970270417421278,0
0,-0.3392530637522129,-0.15382259434224385,-0.5558083660958051,-0.24596308220095658,-0.06272546080295101,0
2,-0.2977612455818962,-0.11195383685289871,-0.8891497925234421,0.7959049169672552,-0.031407298555443164,0
0,-0.3392530637522129,-0.15382259434224385,-1.0502648152968,0.9589799081414099,0.046888107063326454,0
0,-0.3392530637522129,-0.15382259434224385,-0.9835965300112726,0.31573966517668767,0.0782062693108343,0
0,-0.3392530637522129,-0.15382259434224385,-0.9502623873685089,0.8049646386991521,0.10952443155834216,0
1,-0.3392530637522129,-0.15382259434224385,-0.9502623873685089,0.6509493692568952,0.14084259380584999,0
2,-0.3392530637522129,-0.11195383685289871,-0.9280396256066664,0.5965910388655101,0.18781983717711176,0
1,-0.3392530637522129,-0.15382259434224385,-0.3724705815606048,0.5059938215465352,0.2661152427958814,0
0,-0.3392530637522129,-0.15382259434224385,-0.2780238440727743,0.6509493692568952,0.31309248616714314,0
1,-0.38074488192255324,-0.1956913518316128,1.6886905718502838,-1.4599657942752209,0.344410648414651,0
0,-0.3392530637522129,-0.15382259434224385,-0.672477865345478,0.39727716076376496,0.39138789178591277,0
2,-0.3392530637522129,-0.11195383685289871,-0.6335880322622538,1.0858160123879745,0.42270605403342065,0
1,-0.2977612455818962,-0.11195383685289871,-0.7058120079882417,0.19796328266202048,0.5010014596521902,0
0,-0.2977612455818962,-0.15382259434224385,7.344383440239191,-3.3806268014374896,0.547978703023452,1
0,-0.2977612455818962,-0.15382259434224385,-0.8669270307615996,1.1764132297069496,0.5792968652709599,0
2,-0.3392530637522129,-0.1956913518316128,-0.23357832054908936,0.17078411746632763,0.6106150275184677,0
0,-0.38074488192255324,-0.1956913518316128,0.14420862940223256,-0.6174116732087539,0.6889104331372373,0
0,-0.38074488192255324,-0.1956913518316128,0.8442256249002702,-1.0703977598036287,0.7202285953847452,0
0,-0.3392530637522129,-0.15382259434224385,-0.15024296394218012,-0.11006725622249416,0.751546757632253,0
0,-0.3392530637522129,-0.15382259434224385,-0.3446921293583017,0.04394801321976284,0.7828649198797609,0
0,-0.3392530637522129,-0.15382259434224385,-0.1446872735017195,-0.14630614315008467,0.8141830821272688,0
1,-0.3392530637522129,-0.1956913518316128,0.6775549116864518,-1.1247560901950138,0.8455012443747766,0
0,-0.3392530637522129,-0.15382259434224385,-0.8947054829639027,1.131114621047462,0.8924784877460383,0
0,-0.3392530637522129,-0.15382259434224385,-0.8113701263569935,0.9680396298733075,0.9237966499935462,0
