UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
9193,L56372,L,297.9,309.0,1562,60.8,42,0,0,0,0,0,0
6113,L53292,L,300.7,310.8,1925,32.0,72,0,0,0,0,0,0
6653,H36066,H,301.5,310.4,1580,45.7,159,0,0,0,0,0,0
7521,L54700,L,300.2,311.6,1529,45.5,19,0,0,0,0,0,0
9257,L56436,L,298.2,309.1,1569,45.2,197,0,0,0,0,0,0
3985,L51164,L,302.3,311.3,1652,42.8,106,0,0,0,0,0,0
3701,L50880,L,302.1,311.2,1447,60.3,9,0,0,0,0,0,0
2103,L49282,L,299.3,309.3,1325,87.0,49,0,0,0,0,0,0
4634,L51813,L,303.0,311.2,1382,70.5,199,0,0,0,0,0,0
9140,L56319,L,297.5,308.5,1536,61.9,110,0,0,0,0,0,0
4006,M18865,M,297.0,304.1,1406,58.8,157,0,0,0,0,0,0
6641,L53820,L,301.4,310.4,1334,53.2,131,0,0,0,0,0,0
6214,L53393,L,300.9,310.6,1552,44.9,93,0,0,0,0,0,0
1593,L48772,L,298.1,308.4,1592,63.2,213,0,0,0,0,0,0
9056,H38469,H,297.3,308.4,1864,33.1,88,0,0,0,0,0,0
7799,L54978,L,300.0,311.5,1812,38.3,92,0,0,0,0,0,0
1896,L49075,L,292.9,300.6,1344,64.3,149,0,0,0,0,0,0
155,L47334,L,298.4,308.2,1528,46.2,194,0,0,0,0,0,0
2808,M17667,M,299.9,309.3,1452,51.9,104,0,0,0,0,0,0
1355,L48534,L,298.6,310.0,1334,58.0,40,0,0,0,0,0,0
2610,L49789,L,299.4,309.2,1621,59.5,50,0,0,0,0,0,0
7110,L54289,L,300.9,310.5,1599,50.5,55,0,0,0,0,0,0
8240,L55419,L,299.0,310.4,1339,74.6,96,0,0,0,0,0,0
9271,L56450,L,298.2,308.8,1302,70.4,32,0,0,0,0,0,0
7981,M22840,M,296.2,305.4,1505,49.6,100,0,0,0,0,0,0
6879,H36292,H,300.9,311.2,1518,60.0,92,0,0,0,0,0,0
698,M15557,M,297.6,308.8,1453,49.7,67,0,0,0,0,0,0
3765,L50944,L,302.4,311.0,1329,64.6,174,0,0,0,0,0,0
3464,L50643,L,301.6,310.5,1809,35.5,38,0,0,0,0,0,0
9287,L56466,L,298.2,308.9,1605,42.0,77,0,0,0,0,0,0
7791,L54970,L,300.1,311.4,1729,39.3,69,0,0,0,0,0,0
4442,L51621,L,302.5,310.2,1329,60.6,146,1,0,1,0,0,0
763,M15622,M,296.7,307.8,1286,70.5,-2,0,0,0,0,0,0
1219,M16078,M,297.0,308.2,1702,40.7,122,0,0,0,0,0,0
4594,L51773,L,303.0,311.2,1409,51.9,96,0,0,0,0,0,0
4397,H33810,H,302.3,310.1,1383,67.9,26,0,0,0,0,0,0
9233,L56412,L,298.2,309.1,1350,62.0,134,0,0,0,0,0,0
540,M15399,M,297.4,309.3,1775,35.8,89,0,0,0,0,0,0
3914,M18773,M,302.4,311.4,1675,49.6,124,0,0,0,0,0,0
5153,L52332,L,304.3,313.5,2643,22.7,19,0,0,0,0,0,0
997,M15856,M,296.3,307.2,1286,76.1,179,0,0,0,0,0,0
463,L47642,L,292.4,301.7,1433,53.4,114,0,0,0,0,0,0
9618,L56797,L,299.0,310.2,1516,45.3,100,0,0,0,0,0,0
2363,H31776,H,299.3,308.6,1520,51.4,65,0,0,0,0,0,0
6526,L53705,L,301.1,310.4,1312,83.6,47,1,0,0,1,0,0
1261,L48440,L,297.6,309.0,1528,43.8,20,0,0,0,0,0,0
4904,L52083,L,303.6,312.4,2232,26.8,-2,0,0,0,0,0,0
2662,M17521,M,299.9,309.4,1509,52.8,188,0,0,0,0,0,0
2536,L49715,L,299.0,308.8,1495,63.4,77,0,0,0,0,0,0
3940,L51119,L,302.5,311.6,1400,64.0,194,0,0,0,0,0,0
9285,L56464,L,298.2,308.9,1683,41.7,72,0,0,0,0,0,0
6376,H35789,H,300.0,309.6,1629,42.3,87,0,0,0,0,0,0
7800,L54979,L,300.0,311.4,1374,61.9,92,0,0,0,0,0,0
5436,M20295,M,303.0,312.5,1524,52.1,74,0,0,0,0,0,0
6289,L53468,L,301.0,310.5,1317,60.9,73,0,0,0,0,0,0
2293,L49472,L,299.6,308.9,1422,63.2,118,0,0,0,0,0,0
1285,L48464,L,298.4,309.5,2153,25.3,96,1,0,0,1,0,0
8205,L55384,L,299.4,310.9,1751,37.8,8,0,0,0,0,0,0
5667,L52846,L,302.2,311.4,1430,53.1,27,0,0,0,0,0,0
880,L48059,L,295.8,306.3,1337,64.6,85,0,0,0,0,0,0
1601,M16460,M,297.8,307.8,1543,53.7,6,0,0,0,0,0,0
7162,L54341,L,300.2,310.2,1440,52.9,189,0,0,0,0,0,0
3804,L50983,L,302.2,310.9,1531,47.5,58,0,0,0,0,0,0
240,L47419,L,298.0,308.2,1611,50.6,191,0,0,0,0,0,0
