UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7968,M22827,M,313.0,324.2,1629,47.6,73,0,0,0,0,0,0
1825,L49004,L,310.1,319.5,1391,57.4,161,0,0,0,0,0,0
410,L47589,L,309.4,320.6,1459,41.3,196,0,0,0,0,0,0
8345,L55524,L,310.8,321.7,1609,50.4,167,0,0,0,0,0,0
4507,M19366,M,314.4,322.1,1520,36.6,97,0,0,0,0,0,0
4013,M18872,M,314.2,323.2,1360,52.8,176,0,0,0,0,0,0
3658,L50837,L,314.1,323.5,1477,45.4,111,0,0,0,0,0,0
2287,M17146,M,311.4,320.7,1289,60.5,104,0,0,0,0,0,0
5446,M20305,M,315.0,324.8,1648,42.1,102,0,0,0,0,0,0
1680,L48859,L,310.0,319.5,1792,27.9,217,0,0,0,0,0,0
7339,L54518,L,306.8,315.5,1496,38.8,215,0,0,0,0,0,0
5823,M20682,M,313.3,323.0,1463,60.2,212,0,0,0,0,0,0
8936,L56115,L,309.4,320.3,1801,26.9,11,0,0,0,0,0,0
1425,L48604,L,310.7,321.7,1462,46.8,4,0,0,0,0,0,0
9675,L56854,L,311.1,322.2,1695,29.6,8,0,0,0,0,0,0
6913,M21772,M,312.8,323.2,1634,31.9,178,0,0,0,0,0,0
521,L47700,L,309.6,321.5,1617,36.2,42,0,0,0,0,0,0
489,L47668,L,309.4,321.2,1584,42.8,186,0,0,0,0,0,0
1536,L48715,L,310.0,320.8,1581,36.1,73,0,0,0,0,0,0
3583,L50762,L,313.8,322.6,1395,50.5,131,0,0,0,0,0,0
3812,M18671,M,314.1,322.7,1608,30.3,81,0,0,0,0,0,0
8280,L55459,L,310.8,322.6,1803,25.4,209,0,0,0,0,0,0
9864,L57043,L,310.9,321.8,1411,56.3,84,0,0,0,0,0,0
435,M15294,M,309.5,320.5,1484,44.7,40,0,0,0,0,0,0
9196,L56375,L,309.9,321.0,1532,37.6,47,0,0,0,0,0,0
3258,L50437,L,313.2,321.9,1984,19.7,169,0,0,0,0,0,0
5522,L52701,L,309.6,316.9,1397,46.9,82,0,0,0,0,0,0
1354,M16213,M,310.6,322.1,1444,63.1,43,0,0,0,0,0,0
8909,L56088,L,304.2,313.5,1518,44.3,163,0,0,0,0,0,0
8929,L56108,L,309.4,320.4,1531,41.5,213,0,0,0,0,0,0
6874,L54053,L,313.0,323.4,1478,39.5,75,0,0,0,0,0,0
3612,L50791,L,313.7,322.9,1405,46.4,207,1,1,0,0,0,1
7360,M22219,M,311.4,322.0,1512,43.2,47,0,0,0,0,0,0
9655,L56834,L,311.1,322.0,1367,56.3,203,1,0,0,0,1,0
4558,L51737,L,314.7,322.6,1686,26.3,9,0,0,0,0,0,0
107,L47286,L,310.8,320.7,1445,48.5,70,0,0,0,0,0,0
6245,M21104,M,313.0,322.4,1665,40.9,175,0,0,0,0,0,0
2616,L49795,L,311.3,321.0,1516,38.7,64,0,0,0,0,0,0
3108,M17967,M,306.8,314.1,1456,39.4,209,0,0,0,0,0,0
6925,L54104,L,313.2,323.6,1461,52.9,208,1,0,0,0,1,0
5575,L52754,L,314.4,324.0,1305,49.1,16,0,0,0,0,0,0
4553,M19412,M,314.7,322.5,1880,22.7,207,0,0,0,0,0,0
2548,L49727,L,311.2,321.1,1578,38.1,109,0,0,0,0,0,0
3528,M18387,M,313.9,322.9,1573,38.9,209,0,0,0,0,0,0
7603,L54782,L,312.4,323.2,1705,38.7,18,0,0,0,0,0,0
5515,L52694,L,314.7,324.0,1828,24.0,63,0,0,0,0,0,0
1675,L48854,L,310.1,319.8,1540,37.8,203,0,0,0,0,0,0
